x t=0.0001 t=0.001 t=0.01 t=0.1 t=1.0 
0.0005 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007544192094031071 0.00000000000000005426571141454987 0.008000823821029774 0.24131361624705736 0.2500000000100784 
0.0015 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002448505034346397 0.00000000000000005618617665423804 0.00800395868340649 0.24131395916538856 0.25000000001007844 
0.0025 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009616878121062477 0.00000000000000006009129121625982 0.008010229033662645 0.24131464498851382 0.2500000000100783 
0.0035 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000382014793256452 0.00000000000000006611143826963825 0.008019636122752418 0.24131567368935977 0.2500000000100788 
0.0045000000000000005 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001515333924946295 0.0000000000000000744472891127292 0.008032181826978887 0.24131704522731773 0.25000000001007894 
0.0055 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005997472404943898 0.00000000000000008537608592727281 0.008047868647840116 0.24131875954824478 0.25000000001007877 
0.006500000000000001 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023682953043054116 0.00000000000000009926030179333101 0.008066699711823845 0.24132081658446655 0.25000000001007894 
0.0075 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009330554109384069 0.00000000000000011655893035539124 0.008088678770150657 0.24132321625478 0.2500000000100795 
0.0085 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003667588234671427 0.00000000000000013784173317685365 0.008113810198465523 0.24132595846445576 0.2500000000100796 
0.009500000000000001 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001438311317156162 0.00000000000000016380685728540165 0.008142098996477552 0.24132904310524278 0.25000000001007955 
0.0105 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005627584847455483 0.00000000000000019530233092422538 0.008173550787547815 0.24133247005537223 0.2500000000100797 
0.0115 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021967754207713888 0.00000000000000023335205458325855 0.008208171818225026 0.24133623917956196 0.2500000000100802 
0.0125 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008555420203696583 0.0000000000000002791870298204299 0.008245968957728837 0.24134035032902276 0.2500000000100807 
0.013500000000000002 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033241967198778975 0.00000000000000033428271342274257 0.008286949697380579 0.24134480334146305 0.25000000001008105 
0.0145 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012886037171061252 0.00000000000000040040355280112888 0.00833112214998112 0.24134959804109657 0.25000000001008166 
0.0155 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004983528320579015 0.0000000000000004796559544208225 0.008378495049135563 0.24135473423864784 0.25000000001008166 
0.0165 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000192281259105937 0.0000000000000005745511654567508 0.008429077748524513 0.24136021173136127 0.2500000000100818 
0.0175 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007401453925972456 0.0000000000000006880798154165197 0.008482880221121527 0.2413660303030077 0.2500000000100828 
0.018500000000000003 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028423316473263654 0.0000000000000008238001757747613 0.008539913058356424 0.24137218972389393 0.2500000000100835 
0.0195 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001088949282755692 0.000000000000000985942559339577 0.008600187469224075 0.24137868975087123 0.2500000000100831 
0.0205 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041621075986075325 0.0000000000000011795327059662556 0.00866371527933824 0.2413855301273455 0.2500000000100836 
0.021500000000000002 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015870450279642146 0.0000000000000014105374975956102 0.008730508929930084 0.24139271058328618 0.250000000010084 
0.0225 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006037164767923129 0.0000000000000016860369253063867 0.008800581476790864 0.24140023083523832 0.25000000001008477 
0.0235 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022910901319826406 0.000000000000002014426907904222 0.008873946589158363 0.24140809058633383 0.25000000001008515 
0.0245 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008673895973291632 0.0000000000000024056583514783336 0.008950618548546594 0.24141628952630115 0.2500000000100852 
0.025500000000000002 0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032760207747081726 0.0000000000000028715187608188707 0.009030612247518175 0.2414248273314802 0.2500000000100858 
0.026500000000000003 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012343462288871025 0.000000000000003425963787991518 0.00911394318839899 0.24143370366483313 0.25000000001008593 
0.0275 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004639623606050457 0.0000000000000040855073554584395 0.009200627481934441 0.24144291817595856 0.250000000010086 
