x t=0.0000001 t=0.000001 t=0.00001 t=0.0001 t=0.001 t=0.01 t=0.1 t=1.0 
0.0 0.00622838755148826 0.005686998759558192 0.0022900894045790694 0.00000025075498301199236 -0.00000000000000011058126770804514 0.008000045595254702 0.2413136559551344 0.25 
0.01 -0.006228274990437447 -0.005686877811252103 -0.0022899658609942444 -0.00000025064472499650034 -0.000000000000000021494393834929292 0.008157046306931542 0.24133079620999504 0.25 
0.02 0.006227935832819552 0.005686513381817574 0.0022895936122016075 0.00000025031264585572153 0.0000000000000008452545128424141 0.00863117182723326 0.24138214933393629 0.25 
0.03 -0.006227365612242002 -0.0056859006714941734 -0.0022889677569161828 -0.0000002497548045606999 0.000000000000005904171074315723 0.009431766374520064 0.24146751267191802 0.25 
0.04 0.0062265567391735915 0.0056850315242483 0.0022880799666535577 0.00000024896451801124236 0.00000000000003407118072370505 0.010574315996910522 0.24158654935409368 0.25 
0.05 -0.006225498274754665 -0.0056838941846614 -0.0022869182375817405 -0.00000024793219586606206 0.00000000000018342530597812564 0.012080312999163649 0.24173878962496256 0.25 
0.06 0.006224175597715211 0.005682472939922936 0.0022854665251093435 0.0000002466450869934595 0.0000000000009364833200702864 0.013977058187973405 0.24192363269683997 0.25 
0.07 -0.006222569946417448 -0.005680747627597801 -0.002283704241486059 -0.00000024508694447952426 0.000000000004551733828471165 0.016297393551166686 0.24214034912033816 0.25 
0.08 0.006220657810400475 0.005678692981619621 0.002281605588321271 0.00000024323758204776865 0.0000000000210628916938021 0.019079356669009232 0.24238808366251072 0.25 
0.09 -0.006218410135943445 -0.005676277778363586 -0.0022791386851060184 -0.00000024107230775872746 0.00000000009280767209077089 0.02236574740023241 0.24266585868131343 0.25 
0.1 0.006215791297027503 0.0056734637305213215 0.0022762644404297747 0.00000023856120826012575 0.00000000038940567761193933 0.026203597279733485 0.2429725779830744 0.25 
0.11 -0.006212757765178629 -0.005670204057259153 -0.0022729350929523765 -0.00000023566824754292254 0.0000000015559838080460785 0.030643532675365976 0.24330703114776403 0.25 
0.12 0.006209256386921783 0.00566644163252209 0.0022690923220776643 0.00000023235013436767773 0.000000005921417588866488 0.03573902411814458 0.24366789830500923 0.25 
0.13 -0.006205222142764701 -0.005662106575901848 -0.0022646647900987286 -0.00000022855490612880568 0.000000021463508495124554 0.04154551635460202 0.24405375534201776 0.25 
0.14 0.0062005752118829225 0.005657113096990194 0.002259564923094407 0.00000022422014477418184 0.000000074108913365625 0.048119436550959814 0.2444630795228753 0.25 
0.15 -0.006195217094662268 -0.005651355326665103 -0.0022536846589276487 -0.00000021927073552275914 0.0000002437694998378516 0.05551708165129909 0.24489425549705526 0.25 
0.16 0.006189025439194745 0.005644701754674183 0.002246889774524903 0.00000021361603918446203 0.0000007639707639315435 0.06379339006647108 0.24534558167344395 0.25 
0.17 -0.006181847059244229 -0.005636987722255764 -0.0022390122309057167 -0.00000020714631381417153 0.0000022814831577548587 0.07300060752354191 0.24581527693474226 0.25 
0.18 0.006173488389805718 0.00562800515881688 0.0022298397101019646 0.00000019972818728133817 0.0000064932462709949896 0.0831868618818862 0.24630148766576118 0.25 
0.19 -0.006163702252004104 -0.005617488348784835 -0.0022191011082211285 -0.000000191198915723994 0.00001761483671896541 0.09439466683867642 0.24680229506788848 0.25 
0.2 0.006152169206415413 0.005605093876873722 0.0022064461002461047 0.00000018135912137794347 0.00004555581055196865 0.10665937949850053 0.24731572273087396 0.25 
0.21 -0.006138470814330464 -0.005590371867016222 -0.0021914158422646863 -0.00000016996364779406005 0.00011234224334165972 0.1200076415495249 0.24783974443206475 0.25 
0.22 0.006122050533884463 0.005572723915411265 0.002173400134992688 0.00000015671016717084935 0.00026422462395998434 0.1344558380464275 0.24837229213232154 0.25 
0.23 -0.006102155261066519 -0.005551340192002242 -0.002151573402352333 -0.00000014122526517781125 0.0005928486677120342 0.15000861132652424 0.24891126413707035 0.25 
0.24 0.0060777457461148226 0.005525103035640627 0.0021247966169733656 0.0000001230480659004461 0.0012693433690751505 0.1666574701726666 0.24945453339029108 0.25 
0.25 -0.006047355412826656 -0.005492434988954939 -0.0020914628026730037 -0.00000010161228857980285 0.002594303776157791 0.18437953580192287 0.2499999558687164 0.25 
0.26 0.006008860629297642 0.005451051451879077 0.002049245768415329 0.00000007622950325167359 0.005063269909161013 0.20313646645483088 0.25054537904311847 0.25 
0.27 -0.005959092850095078 -0.005397542935380275 -0.0019946761771655417 -0.000000046080051951653506 0.00944052007804842 0.22287360118179642 0.2510886503732933 0.25 
0.28 0.005893155023782285 0.005326638466725811 0.001922395045093523 0.000000010234965725737847 0.01682401293737486 0.24351936081738174 0.2516276258032189 0.25 
0.29 -0.005803154011629778 -0.005229838945089625 -0.00182377120542347 0.000000033256517338856046 0.028673425950649034 0.26498494010186785 0.25216017822285797 0.25 
0.3 0.005675702370595281 0.005092721631561353 0.00168418127947324 -0.000000025633765712414422 0.04676625634436304 0.28716431951270105 0.2526842058632092 0.25 
0.31 -0.005486613116238575 -0.004889209924191144 -0.001477248493145386 0.0000022921770092230765 0.07305023298077458 0.30993461872392514 0.2531976405914691 0.25 
0.32 0.005188526393548537 0.004568188651413761 0.001151462579017833 0.000050104146756668795 0.10937900226214443 0.33315680589141483 0.2536984560735611 0.25 
0.33 -0.004678318753764062 -0.0040181684206356295 -0.0005952031621742175 0.000731636879121439 0.1571523302158641 0.35667676838569895 0.25418467577180925 0.25 
