x t=0.0001 t=0.001 t=0.01 t=0.1 t=1.0 
0.01 0.0000000000000000000000000003348960014550611 0.00000000002004001202932385 0.008065652231248619 0.23021453131630068 0.23999999999989524 
0.03 0.000000000000000000000000018599353470470644 0.00000000010900614181503085 0.009215775311877844 0.23036883663195434 0.23999999999989688 
0.05 0.0000000000000000000000010102365366749966 0.0000000006547589599247588 0.011606579263976402 0.2306750148677384 0.23999999999990013 
0.06999999999999999 0.0000000000000000000000526142825928452 0.00000000379348884520355 0.015417254374825 0.2311282395243557 0.23999999999990493 
0.09 0.0000000000000000000026190296808744534 0.000000021068429512570733 0.020911103750075717 0.23172136598265888 0.2399999999999112 
0.11 0.00000000000000000012415017334273847 0.00000011180985438387583 0.028427200799257233 0.23244504398978444 0.2399999999999189 
0.13 0.000000000000000005580973964052123 0.0000005650317959243625 0.03836665346740412 0.23328786488538483 0.23999999999992783 
0.15000000000000002 0.0000000000000002367744319571919 0.0000027083893221240452 0.051171879459192306 0.23423654126074306 0.23999999999993787 
0.17 0.000000000000009427181721393696 0.000012259464708902717 0.06729766536992907 0.23527611623391764 0.23999999999994884 
0.19 0.00000000000034992502086358784 0.00005213959518136895 0.08717358071992247 0.23639019905781722 0.23999999999996058 
0.21000000000000002 0.000000000012013722664109692 0.00020715858899602525 0.1111585160192095 0.23756122336254581 0.23999999999997293 
0.23 0.0000000003778482748880251 0.0007638648981644442 0.13948959982732761 0.23877072397506086 0.23999999999998567 
0.25 0.000000010757968487119958 0.0025943225953312977 0.17222932335186325 0.23999962796388483 0.23999999999999863 
0.27 0.00000027313037976014405 0.008045610945250966 0.2092160914363825 0.24122855532910617 0.24000000000001154 
0.29000000000000004 0.000006062979609433435 0.022559787778123962 0.2500243245474028 0.24243812460198833 0.24000000000002422 
0.31 0.00011456838901806371 0.05656749210411788 0.2939403865434602 0.2436092585368703 0.24000000000003652 
0.33 0.001773679974254074 0.12535646046980498 0.33995983434948635 0.24472348507224387 0.2400000000000482 
0.35000000000000003 0.021204696695135205 0.24274920810648462 0.3868097588981673 0.2457632288082926 0.24000000000005917 
0.37 0.17665781433713665 0.4074226218207483 0.4329974726440938 0.24671208839393308 0.24000000000006916 
0.39 0.8233421856628677 0.5925741047581327 0.4768838223725231 0.24755509543544804 0.24000000000007804 
0.41000000000000003 0.9787953033048603 0.7572384206189441 0.5167763974724845 0.2482789508278881 0.24000000000008567 
0.43 0.9982263200254011 0.8745913788665268 0.5510353135439441 0.24887223476513393 0.24000000000009192 
0.45 0.9998854315989727 0.9432253455130046 0.5781824590255347 0.24932558709934097 0.24000000000009666 
0.47000000000000003 0.9999939366425468 0.9766763466663301 0.5970043396739495 0.2496318551889093 0.24000000000009986 
0.49 0.9999997161116554 0.9893600663334515 0.6066390155464705 0.249786206888698 0.2400000000001015 
0.51 0.9999997161116565 0.9893600663334517 0.6066390155464705 0.24978620688869804 0.2400000000001015 
0.53 0.999993936642547 0.9766763466663307 0.5970043396739495 0.24963185518890948 0.24000000000009986 
0.55 0.999885431598974 0.943225345513005 0.5781824590255346 0.2493255870993413 0.24000000000009664 
0.5700000000000001 0.9982263200254016 0.8745913788665272 0.551035313543944 0.2488722347651344 0.24000000000009186 
0.59 0.9787953033048594 0.7572384206189441 0.5167763974724842 0.24827895082788864 0.2400000000000856 
0.61 0.8233421856628678 0.5925741047581325 0.4768838223725228 0.2475550954354487 0.24000000000007796 
0.63 0.1766578143371366 0.4074226218207482 0.4329974726440935 0.24671208839393383 0.24000000000006907 
0.65 0.021204696695135212 0.24274920810648457 0.386809758898167 0.24576322880829338 0.24000000000005908 
0.67 0.0017736799742540743 0.1253564604698049 0.3399598343494859 0.24472348507224473 0.24000000000004815 
0.6900000000000001 0.00011456838901806379 0.05656749210411782 0.2939403865434599 0.2436092585368712 0.24000000000003638 
0.7100000000000001 0.000006062979609433439 0.02255978777812396 0.25002432454740253 0.24243812460198927 0.240000000000024 
0.73 0.00000027313037976014416 0.008045610945250968 0.20921609143638226 0.24122855532910722 0.24000000000001123 
0.75 0.00000001075796848711996 0.002594322595331298 0.17222932335186303 0.23999962796388596 0.23999999999999821 
0.77 0.0000000003778482748880252 0.0007638648981644445 0.13948959982732745 0.23877072397506205 0.23999999999998523 
0.79 0.000000000012013722664109694 0.0002071585889960253 0.11115851601920938 0.2375612233625471 0.23999999999997243 
0.81 0.000000000000349925020863588 0.000052139595181368976 0.0871735807199224 0.2363901990578186 0.23999999999996008 
0.8300000000000001 0.000000000000009427181721393703 0.000012259464708902726 0.06729766536992901 0.2352761162339191 0.2399999999999483 
0.85 0.00000000000000023677443195719205 0.0000027083893221240465 0.05117187945919226 0.23423654126074467 0.23999999999993732 
0.87 0.0000000000000000055809739640521264 0.0000005650317959243628 0.03836665346740409 0.23328786488538653 0.23999999999992733 
0.89 0.00000000000000000012415017334273856 0.00000011180985438387595 0.02842720079925721 0.2324450439897862 0.23999999999991847 
0.91 0.0000000000000000000026190296808744545 0.000000021068429512570756 0.0209111037500757 0.23172136598266066 0.23999999999991087 
0.93 0.000000000000000000000052614282592845236 0.000000003793488845203555 0.015417254374824984 0.23112823952435751 0.23999999999990465 
0.9500000000000001 0.0000000000000000000000010102365366749977 0.0000000006547589599247597 0.01160657926397639 0.2306750148677402 0.23999999999989985 
0.97 0.000000000000000000000000018599353470470676 0.00000000010900614181503104 0.009215775311877833 0.23036883663195612 0.2399999999998966 
0.99 0.0000000000000000000000000003348960014550618 0.000000000020040012029323895 0.008065652231248612 0.23021453131630248 0.23999999999989496 
