dx lambda=1.0,p=1 lambda=1.0,p=2 lambda=1.0,p=3 lambda=2.0,p=1 lambda=2.0,p=2 lambda=2.0,p=3 lambda=3.0,p=1 lambda=3.0,p=2 lambda=3.0,p=3 
-5.993961427306569 -13.002180171405728 -11.154774101691814 -10.330880969729607 -13.221526037402414 -11.259678120197407 -10.419900217879029 -12.278361597856167 -11.122456731046203 -10.358194347608926 
-6.018593214496234 -13.051445547463816 -11.204041061479925 -10.380188839427046 -13.270790728333674 -11.308937427943844 -10.469179957353312 -12.327621597167722 -11.171724838328167 -10.407469550627141 
-6.042632833682381 -13.099527705750285 -11.252109906979255 -10.428234312112306 -13.318871146440877 -11.357012341989549 -10.517290818959259 -12.375703069379627 -11.219810648158724 -10.455569061496215 
-6.066108090103747 -13.146482077174888 -11.299070907594993 -10.475186814740166 -13.365822899142504 -11.403974948366915 -10.564211687748942 -12.422656726564098 -11.266752698419156 -10.502509395629337 
-6.089044875446846 -13.192353829252138 -11.344942474800998 -10.521088228895826 -13.411697701803988 -11.449840950440798 -10.610073552318214 -12.46852574703011 -11.312630285708659 -10.548371320646106 
-6.111467339502679 -13.23719507791737 -11.389780905843836 -10.565899082805231 -13.456543922350473 -11.494684045183583 -10.654922541444474 -12.513371298542284 -11.357480625591464 -10.593214123000147 
-6.133398042996649 -13.281054172740678 -11.433653798278218 -10.609786352491872 -13.500406658897036 -11.538557778955177 -10.69880179811611 -12.55723785016647 -11.40133474670119 -10.637081716886463 
-6.154858094016418 -13.323973247580343 -11.476567805812646 -10.65269389957479 -13.543328054463185 -11.581467865072883 -10.741728522986032 -12.600153152849073 -11.444258448099731 -10.680015264245881 
-6.175867270105761 -13.365991543227935 -11.518582679793218 -10.694705082105365 -13.585345272018955 -11.62348629804393 -10.783728312465106 -12.642170894321936 -11.486281289140804 -10.722037335429556 
-6.19644412779452 -13.407146232934561 -11.559748557899622 -10.735894203979205 -13.62649780579273 -11.664651271325612 -10.8248773760529 -12.683328057238137 -11.527428682656586 -10.763178778291463 
-6.2166061010848646 -13.447471979170844 -11.60006329526907 -10.776182388588483 -13.66682079020531 -11.704964544473563 -10.86520898992445 -12.723650224540778 -11.56775588731203 -10.803498303932246 
